doi,filename,sppl_1,sppl_2,sppl_3,sppl_4,sppl_5,sppl_6,sppl_7,sppl_8,sppl_9,sppl_10,sppl_11,sppl_12,sppl_13,sppl_14,sppl_15,sppl_16
10.1016/j.virusres.2016.05.015,VirusRes.226.128-141.pdf,,,,,,,,,,,,,,,,
10.1016/j.virusres.2007.03.012,VirusRes.133.1.74-87.pdf,,,,,,,,,,,,,,,,
10.1007/s11262-013-1008-x,VirusGenes.48.2.366–371.pdf,,,,,,,,,,,,,,,,
10.1093/ve/vey008,VirusEvol.4.1.vey008.pdf,Virus.Evol.4.1.vey008.suppl-01.docx,,,,,,,,,,,,,,,
10.3390/v11030210,Viruses.11.3.210.pdf,,,,,,,,,,,,,,,,
10.1007/s12250-018-0017-2,VirolSin.33.1.87-95.pdf,,,,,,,,,,,,,,,,
10.1007/s12250-017-3976-9,VirolSin.32.322.6-234.pdf,,,,,,,,,,,,,,,,
10.1007/s12250-016-3727-3,VirolSin.31.1.69-77.pdf,VirolSin.31.1.69-77_suppl-01.pdf,,,,,,,,,,,,,,,
10.1007/s12250-016-3713-9,VirolSin.31.1.31-40.pdf,VirolSin.31.1.31-40_suppl-01.pdf,,,,,,,,,,,,,,,
10.1016/j.virol.2017.03.019,Virology.507.1-10.pdf,Virology.507.1-10_suppl-01.pdf,Virology.507.1-10_suppl-02.pdf,Virology.507.1-10_suppl-03.docx,Virology.507.1-10_suppl-04.docx,Virology.507.1-10_suppl-05.docx,,,,,,,,,,,
10.1016/j.virol.2015.02.030,Virology.479-480.247–258.pdf,,,,,,,,,,,,,,,,
10.1016/j.virol.2014.10.017,Virology.474.19-27.pdf,Virology.474.19-27_suppl-01.tif,Virology.474.19-27_supll-02.doc,Virology.474.19-27_suppl-03.doc,Virology.474.19-27_suppl-04.doc,,,,,,,,,,,,
10.1016/j.virol.2007.06.009,Virology.367.2.428-439.pdf,Virology.367.2.428-439_suppl-01.doc,,,,,,,,,,,,,,,
10.1016/j.virol.2007.02.006,Virology.364.1.64-72.pdf,,,,,,,,,,,,,,,,
10.1016/j.virol.2006.02.041,Virology.351.1.180-187.pdf,,,,,,,,,,,,,,,,
10.1186/s12985-016-0544-0,VirolJ.13.87.pdf,,,,,,,,,,,,,,,,
10.1177/0300985815620845,VetPathol.53.3.521-531.pdf,,,,,,,,,,,,,,,,
10.1016/j.vaccine.2014.04.016,Vaccine.32.26.3169-3174.pdf,,,,,,,,,,,,,,,,
10.1016/j.tim.2020.02.001,TrendsMicrobiol.28.4.239-240.pdf,,,,,,,,,,,,,,,,
10.1016/j.tim.2018.03.001,TrendsMicrobiol.26.6.P466-470.pdf,,,,,,,,,,,,,,,,
10.1016/j.tim.2015.06.003,TrendsMicrobiol. 23.8.P468-478.pdf,,,,,,,,,,,,,,,,
10.1038/s41598-017-11384-w,SciRep.7.1.10917.pdf,SciRep.7.1.10917_suppl-01.doc,,,,,,,,,,,,,,,
10.1038/srep21878,SciRep.6.1.21878.pdf,SciRep.6.1.21878_suppl-01.pdf,,,,,,,,,,,,,,,
10.1126/science.aac8608,Science.351.6268.81-84.pdf,Science.351.6268.81-84_suppl-01.pdf,,,,,,,,,,,,,,,
10.1126/science.aad1283,Science.351.6268.77-81.pdf,Science.351.6268.77-81_suppl-01.pdf,,,,,,,,,,,,,,,
10.1126/science.1118391,Science.310.5748.676-679.pdf,Science.310.5748.676-679_suppl-01.pdf,,,,,,,,,,,,,,,
10.1126/science.1087139,Science.302.5643.276-278.pdf,Science.302.5643.276-278_suppl-01.pdf,,,,,,,,,,,,,,,
10.1007/s11427-017-9263-6,SciChinaLifeSci.60.12.1357-1363.pdf,,,,,,,,,,,,,,,,
10.1007/s11427-016-5039-0,SciChinaLifeSci.59.6.604-614.pdf,,,,,,,,,,,,,,,,
10.1002/rmv.1917,RevMedVirol.27.2.e1917.pdf,,,,,,,,,,,,,,,,
10.5281/ZENODO.3740619,PulResRespCare 4.1.01-08.pdf,,,,,,,,,,,,,,,,
10.1007/s13238-012-2811-1,Protein&Cell.3.11.803–805.pdf,,,,,,,,,,,,,,,,
10.1073/pnas.1814995116,PNAS.116.23.11351-11360.pdf,PNAS.116.23.11351-11360_suppl-01.pdf,PNAS.116.23.11351-11360_suppl-02.xlsx,PNAS.116.23.11351-11360_suppl-03.xlsx,,,,,,,,,,,,,
10.1073/pnas.1323279111,PNAS.111.13.4970–4975.pdf,PNAS.111.13.4970–4975_suppl-01.pdf,,,,,,,,,,,,,,,
10.1073/pnas.1310744110,PNAS.110.41.16598-603.pdf,PNAS.110.41.16598-603_suppl-01.pdf,PNAS.110.41.16598-603_suppl-02.docx,PNAS.110.41.16598-603_suppl-03.docx,PNAS.110.41.16598-603_suppl-04.docx,,,,,,,,,,,,
10.1073/pnas.0506735102,PNAS.102.39.14040-14045.pdf,,,,,,,,,,,,,,,,
10.1073/pnas.0409608102,PNAS.102.7.2430-2435.pdf,,,,,,,,,,,,,,,,
10.1073/pnas.1510830112,PNAS.14.112.28.8738-43.pdf,PNAS.14.112.28.8738-43_suppl-01.pdf,,,,,,,,,,,,,,,
10.1371/journal.ppat.1004250,PLOSPathogens.10.8.e1004250.pdf,PLOSPathogens.10.8.e1004250_suppl-01.tif,PLOSPathogens.10.8.e1004250_suppl-02.tif,PLOSPathogens.10.8.e1004250_suppl-03.DOCX,PLOSPathogens.10.8.e1004250_suppl-04.DOCX,PLOSPathogens.10.8.e1004250_suppl-05.DOCX,PLOSPathogens.10.8.e1004250_suppl-06.DOCX,PLOSPathogens.10.8.e1004250_suppl-07.DOCX,PLOSPathogens.10.8.e1004250_suppl-08.DOCX,PLOSPathogens.10.8.e1004250_suppl-09.DOCX,,,,,,,
10.1371/journal.ppat.1005883,PlosPathog.12.9.e1005883.pdf,PlosPathog.12.9.e1005883_suppl-01.tif,PlosPathog.12.9.e1005883_suppl-02.tif,PlosPathog.12.9.e1005883_suppl-03.tif,PlosPathog.12.9.e1005883_suppl-04.tif,PlosPathog.12.9.e1005883_suppl-05.tif,PlosPathog.12.9.e1005883_suppl-06.tif,PlosPathog.12.9.e1005883_suppl-07.DOCX,PlosPathog.12.9.e1005883_suppl-08.DOCX,PlosPathog.12.9.e1005883_suppl-09.DOCX,PlosPathog.12.9.e1005883_suppl-10.DOCX,PlosPathog.12.9.e1005883_suppl-11.DOCX,PlosPathog.12.9.e1005883_suppl-12.DOCX,PlosPathog.12.9.e1005883_suppl-13.DOCX,PlosPathog.12.9.e1005883_suppl-14.DOCX,PlosPathog.12.9.e1005883_suppl-15.RAR,PlosPathog.12.9.e1005883_suppl-16.RAR
10.1371/journal.ppat.1002215,PLoSPathog.7.9.e1002215.pdf,PLoSPathog.7.9.e1002215_suppl-01.RTF,PLoSPathog.7.9.e1002215_suppl-02.DOC,PLoSPathog.7.9.e1002215_suppl-03.DOC,PLoSPathog.7.9.e1002215_suppl-04.RTF,,,,,,,,,,,,
10.1371/journal.ppat.0030005,PLoSPathog.3.1.e5.PDF,PLoSPathog.3.1.e5_suppl-01.PDF,PLoSPathog.3.1.e5_suppl-02.PDF,PLoSPathog.3.1.e5_suppl-03.DOC,PLoSPathog.3.1.e5_suppl-04.DOC,PLoSPathog.3.1.e5_suppl-05.DOC,,,,,,,,,,,
10.1371/journal.pone.0069127,PLoSOne.8.7.e69127.pdf,,,,,,,,,,,,,,,,
10.1371/journal.pone.0052752,PLoSOne.8.1.e52752.pdf,PLoSOne.8.1.e52752_suppl-01.DOCX,PLoSOne.8.1.e52752_suppl-02.DOCX,PLoSOne.8.1.e52752_suppl-03.DOCX,PLoSOne.8.1.e52752_suppl-04.DOCX,PLoSOne.8.1.e52752_suppl-05.DOCX,PLoSOne.8.1.e52752_suppl-06.DOCX,,,,,,,,,,
10.1371/journal.pmed.0030525,PLoSMed.3.12.e525.PDF,PLoSMed.3.12.e525_suppl-01.DOCX,,,,,,,,,,,,,,,
10.1016/j.onehlt.2017.10.001,OneHealth.4.27–33.pdf,,,,,,,,,,,,,,,,
10.1016/j.onehlt.2017.03.001,OneHealth.3.34–40.pdf,,,,,,,,,,,,,,,,
10.1056/NEJMoa1401505,NEnglJMed.370.26.2499-505.pdf,,,,,,,,,,,,,,,,
10.1056/NEJMc1215691,NEnglJMed.368.16.1560-1562.pdf,,,,,,,,,,,,,,,,
10.1056/NEJMoa1211721,NEnglJMed.367.19.1814-20.pdf,,,,,,,,,,,,,,,,
10.1038/s41586-018-0010-9,Nature.556.7700.255-258.pdf,Nature.556.7700.255-258_suppl-01.pdf,Nature.556.7700.255-258_suppl-02.xlsx,Nature.556.7700.255-258_suppl-03.xlsx,Nature.556.7700.255-258_suppl-04.xlsx,,,,,,,,,,,,
10.1038/nature12711,Nature.503.535–538.pdf,,,,,,,,,,,,,,,,
10.1038/425915a,Nature.425.6961.915.pdf,Nature.425.6961.915.suppl-01.doc,,,,,,,,,,,,,,,
10.1038/nrmicro2147,NatRevMicrobiol.7.6.439-450.pdf,,,,,,,,,,,,,,,,
10.1038/nm.3362,NatMed.19.10.1313–1317.pdf,,,,,,,,,,,,,,,,
10.1038/ncomms1796,NatCommun.3.1.1-13.pdf,NatCommun.3.1.1-13_suppl-01.pdf,,,,,,,,,,,,,,,
10.1128/mBio.00884-14,mBioe.5.2.e00884-14.pdf,mBioe.5.2.e00884-14_suppl-01.docx,mBioe.5.2.e00884-14_suppl-02.docx,,,,,,,,,,,,,,
10.1128/mBio.01146-14,mBio.5.3.e01146-14.pdf,mBio.5.3.e01146-14_suppl-01.pdf,mBio.5.3.e01146-14_suppl-02.docx,,,,,,,,,,,,,,
10.1128/mBio.00515-12,mBio.3.6.e00515-12.pdf,mBio.3.6.e00515-12_suppl-01.tif,mBio.3.6.e00515-12_suppl-02.tif,,,,,,,,,,,,,,
10.1128/mBio.00473-12,mBio.3.6.e00412-e00473.pdf,mBio.3.6.e00412-e00473_suppl-01.doc,mBio.3.6.e00412-e00473_suppl-02.doc.docx,,,,,,,,,,,,,,
10.1016/S1473-3099(15)70090-3,LancetInfectDis.15.5.559-64.pdf,,,,,,,,,,,,,,,,
10.1016/S1473-3099(13)70690-X,LancetInfectDis.14.2.140-145.pdf,,,,,,,,,,,,,,,,
10.1016/S1473-3099(13)70164-6,LancetInfectDis.13.10.859-866.pdf,,,,,,,,,,,,,,,,
10.1016/S0140-6736(03)13967-0,Lancet.362.9380.263-270.pdf,,,,,,,,,,,,,,,,
10.1128/JVI.00116-18,JVirol.92.13.e00116-e00118.pdf,,,,,,,,,,,,,,,,
10.1128/JVI.02582-15,JVirol.90.6.3253-3256.pdf,,,,,,,,,,,,,,,,
10.1128/JVI.01048-15,JVirol.89.20.10532-10547.pdf,,,,,,,,,,,,,,,,
10.1128/JVI.00614-15,JVirol.89.16.8651-8656.pdf,,,,,,,,,,,,,,,,
10.1128/JVI.00661-15,JVirol.89.11.6131-6135.pdf,,,,,,,,,,,,,,,,
10.1128/JVI.00446-15,JVirol.89.11.6117-6120.pdf,,,,,,,,,,,,,,,,
10.1128/JVI.03445-14,JVirol.89.8.4696-4699.pdf,,,,,,,,,,,,,,,,
10.1128/JVI.03427-14,JVirol.89.7.3659-3670.pdf,,,,,,,,,,,,,,,,
10.1128/JVI.02420-14,JVirol.89.6.3076-3092.pdf,,,,,,,,,,,,,,,,
10.1128/JVI.01498-14,JVirol.88.19.11297–11303.pdf,,,,,,,,,,,,,,,,
10.1128/JVI.00676-14,JVirol.88.16.9220–9232.pdf,,,,,,,,,,,,,,,,
10.1128/JVI.00631-14,JVirol.88.12.7070-7082.pdf,,,,,,,,,,,,,,,,
10.1128/JVI.01600-13,JVirol.88.1.717-724.pdf,,,,,,,,,,,,,,,,
10.1128/JVI.01055-13,JVirol.87.15.8638-8650.pdf,,,,,,,,,,,,,,,,
10.1128/JVI.01244-13,JVirol.87.14.7790–7792.pdf,,,,,,,,,,,,,,,,
10.1128/JVI.01305-12,JVirol.86.21.11906-11918.pdf,,,,,,,,,,,,,,,,
10.1128/JVI.06671-11,JVirol.86.8.4620-4630.pdf,,,,,,,,,,,,,,,,
10.1128/JVI.06540-11,JVirol.86.7.3995-4008.pdf,,,,,,,,,,,,,,,,
10.1128/JVI.05957-11,JVirol.86.2.884–897.pdf,,,,,,,,,,,,,,,,
10.1128/JVI.06048-11,JVirol.85.23.12201-12215.pdf,,,,,,,,,,,,,,,,
10.1128/JVI.01121-10,JVirol.84.21.11385-11394..pdf,,,,,,,,,,,,,,,,
10.1128/JVI.00272-10,JVirol.84.11.5670-5677.pdf,,,,,,,,,,,,,,,,
10.1128/JVI.01394-09,JVirol.84.7.3134–3146.pdf,,,,,,,,,,,,,,,,
10.1128/JVI.02219-09,JVirol.84.6.2808-2819.pdf,,,,,,,,,,,,,,,,
10.1128/JVI.00442-08,JVirol.82.14.6984-6991.pdf,,,,,,,,,,,,,,,,
10.1128/JVI.02722-07,JVirol.82.10.5084-5088.pdf,,,,,,,,,,,,,,,,
10.1128/JVI.01085-07,JVirol.82.4.1899-1907.pdf,,,,,,,,,,,,,,,,
10.1128/JVI.01967-06,JVirol.81.4.1848–1857.pdf,,,,,,,,,,,,,,,,
10.1128/JVI.02182-06,JVirol.81.4.1574-85.pdf,,,,,,,,,,,,,,,,
10.1128/JVI.00697-06,JVirol.80.15.7481-7490.pdf,,,,,,,,,,,,,,,,
10.1128/JVI.80.9.4211-4219.2006,JVirol.80.9.4211–4219.pdf,,,,,,,,,,,,,,,,
10.1128/JVI.79.4.2001-2009.2005,JVirol.79.4.2001-2009.pdf,,,,,,,,,,,,,,,,
10.1128/JVI.79.1.503-511.2005,JVirol.79.1.503-511.pdf,,,,,,,,,,,,,,,,
10.1128/jvi.65.6.2910-2920.1991,JVirol.65.6.2910-20.pdf,,,,,,,,,,,,,,,,
10.1128/jvi.64.3.1407-1409.1990,JVirol.64.3.1407-1409.pdf,,,,,,,,,,,,,,,,
10.2478/jvetres-2018-0035,JVetRes.62.3.249-255.pdf,,,,,,,,,,,,,,,,
10.1292/jvms.19-0492,JVetMedSci.81.12.1842-1849.pdf,,,,,,,,,,,,,,,,
10.1292/jvms.14-0012,JVetMedSci.76.9.1267–1269.pdf,,,,,,,,,,,,,,,,
10.1111/jvim.15388,JVetInternMed.33.1.275-279.pdf,,,,,,,,,,,,,,,,
10.1002/jmv.25682,JMedVirol.2020.92.433–440.pdf,JMedVirol.2020.92.433–440_suppl-01.xlsx,,,,,,,,,,,,,,,
10.1002/jmv.25726,JMedVirol.2020.1–7.pdf,JMedVirol.2020.1–7_suppl-01.docx,,,,,,,,,,,,,,,
10.1093/infdis/jiy018,JInfectDis.218.2.197-207.pdf,,,,,,,,,,,,,,,,
10.1093/infdis/jiv476,JInfectDis.213.4.579-583.pdf,JInfectDis.213.4.579-583_suppl-01,,,,,,,,,,,,,,,
10.1093/infdis/jiv392,JInfectDis.212.12.1904-1913.pdf,JInfectDis.212.12.1904-1913_suppl-01.pptx,,,,,,,,,,,,,,,
10.1093/infdis/jit590,JInfectDis.209.2.236-242.pdf,,,,,,,,,,,,,,,,
10.1016/j.jim.2007.11.009,JImmunolMethods.331.1-2.1-12.pdf,,,,,,,,,,,,,,,,
10.4049/jimmunol.181.9.6337,JImmunol.181.9.6337-4638.pdf,,,,,,,,,,,,,,,,
10.1099/jgv.0.001307,JGenVirol.100.10.1363-1374.pdf,,,,,,,,,,,,,,,,
10.1099/jgv.0.000464,JGenVirol.97.7.1566-1574.pdf,,,,,,,,,,,,,,,,
10.1099/jgv.0.000338,JGenVirol.97.1.110-120.pdf,,,,,,,,,,,,,,,,
10.1099/vir.0.060640-0,JGenVirol.95.2.408-412.pdf,,,,,,,,,,,,,,,,
10.1099/vir.0.025353-0,JGenVirol.92.Pt 6.1369-1379.pdf,,,,,,,,,,,,,,,,
10.1099/vir.0.016378-0,JGenVirol.91.Pt 4.1058-1062.pdf,,,,,,,,,,,,,,,,
10.1099/vir.0.013490-0,JGenVirol.90.2695-2703.pdf,,,,,,,,,,,,,,,,
10.1099/vir.0.83605-0,JGenVirol.89.Pt 5.1282-1287.pdf,,,,,,,,,,,,,,,,
10.1099/vir.0.82220-0,JGenVirol.87.Pt 11.3355-3359.pdf,,,,,,,,,,,,,,,,
10.1099/vir.0.82203-0,JGenVirol.87.Pt 9.2461-2466.pdf,,,,,,,,,,,,,,,,
10.1099/0022-1317-81-6-1473,JGenVirol.81.6.1473-1484.pdf,,,,,,,,,,,,,,,,
10.1099/0022-1317-68-1-57,JGenVirol.68.1.57-77.pdf,,,,,,,,,,,,,,,,
10.1128/jcm.26.11.2235-2239.1988,JClinMicrobiol.26.11.2235-2239.pdf,,,,,,,,,,,,,,,,
10.1038/ismej.2015.138,ISMEJ.10.3.609-620.pdf,,,,,,,,,,,,,,,,
10.1016/j.ijppaw.2014.06.003,IntJParasitolParasitesWildl.3.2.161-170.pdf,IntJParasitolParasitesWildl.3.2.161-170_suppl-01.docx,,,,,,,,,,,,,,,
10.1016/j.ijantimicag.2010.06.016,IntJAntimicrobAgents.36.1.S21-5.pdf,,,,,,,,,,,,,,,,
10.1159/000149135,Intervirology.13.5.275-83.pdf,,,,,,,,,,,,,,,,
10.3402/iee.v5.28305,InfectEcolEpidemiol.5.28305.pdf,,,,,,,,,,,,,,,,
10.2147/IDR.S51283,InfectDrugResist.7.281–287.pdf,,,,,,,,,,,,,,,,
10.1101/2020.03.30.015008,Evolutionary_Biology_preprint.pdf,,,,,,,,,,,,,,,,
10.2807/1560-7917.ES2014.19.23.20829,EuroSurveill.19.23.20829.pdf,,,,,,,,,,,,,,,,
10.2807/1560-7917.ES2013.18.50.20662,EuroSurveill.18.50.20662.pdf,,,,,,,,,,,,,,,,
10.1038/s41426-018-0155-5,EmergMicrobesInfect.7.1.154.pdf,EmergMicrobesInfect.7.1.154_suppl-001.tif,EmergMicrobesInfect.7.1.154_suppl-02.docx,,,,,,,,,,,,,,
10.3201/eid2302.161239,EmergInfectDis.23.2.232-240.pdf,EmergInfectDis.23.2.232-240_suppl-001.pdf,,,,,,,,,,,,,,,
10.3201/eid2206.152113,EmergInfectDis.22.6.1129–1131.pdf,,,,,,,,,,,,,,,,
10.3201/eid2206.160007,EmergInfectDis.22.6.1071-1074.pdf,,,,,,,,,,,,,,,,
10.3201/eid2206.160192,EmergInfectDis.22.6.1031-1037.pdf,,,,,,,,,,,,,,,,
10.3201/eid2012.141026,EmergInfectDis.20.12.2093-2095.pdf,,,,,,,,,,,,,,,,
10.3201/eid2012.141280,EmergInfectDis.20.12.1999-2005.pdf,,,,,,,,,,,,,,,,
10.3201/eid2008.140663,EmergInfectDis.20.8.1339-1342.pdf,,,,,,,,,,,,,,,,
10.3201/eid2008.140596,EmergInfectDis.20.8.1319-22.pdf,,,,,,,,,,,,,,,,
10.3201/eid2007.140318,EmergInfectDis.20.7.1260-1262.pdf,,,,,,,,,,,,,,,,
10.3201/eid2006.140299,EmergInfectDis.20.6.1049–1053.pdf,,,,,,,,,,,,,,,,
10.3201/eid2006.140402,EmergInfectDis.20.6.1012–1015.pdf,,,,,,,,,,,,,,,,
10.3201/eid1911.131172,EmergInfectDis.19.11.1819-1823.pdf,,,,,,,,,,,,,,,,
10.3201/eid1910.130946,EmergInfectDis.19.10.1697–1699.pdf,,,,,,,,,,,,,,,,
10.3201/eid1903.121503,EmergInfectDis.19.3.456–459.pdf,,,,,,,,,,,,,,,,
10.3201/eid1708.110115,EmergInfectDis.17.8.1570-1571.pdf,,,,,,,,,,,,,,,,
10.3201/eid1906.121648,EmergInfectDis.16.9.989-991.pdf,,,,,,,,,,,,,,,,
10.3201/eid1310.070448,EmergInfectDis.13.10.1526–1532.pdf,,,,,,,,,,,,,,,,
10.3201/eid1112.041293,EmergInfectDis.11.12.1860-1865.pdf,,,,,,,,,,,,,,,,
10.3201/eid1012.040520,EmergInfectDis.10.12.2244–2248.pdf,,,,,,,,,,,,,,,,
10.3201/eid1007.031119,EmergInfectDis.10.7.1293-1296.pdf,,,,,,,,,,,,,,,,
10.3402/ehtj.v4i0.7159,EmergHealthThreatsJ.4.7159.pdf,,,,,,,,,,,,,,,,
10.1111/ele.12491,EcolLett.18.1153–1162.pdf,EcolLett.18.1153–1162_suppl-01.pdf,EcolLett.18.1153–1162_suppl-02.xlsx,EcolLett.18.1153–1162_suppl-03.csv,EcolLett.18.1153–1162_suppl-04.csv,EcolLett.18.1153–1162_suppl-05.csv,EcolLett.18.1153–1162_suppl-06.csv,EcolLett.18.1153–1162_suppl-07.xlsx,EcolLett.18.1153–1162_suppl-08.xlsx,EcolLett.18.1153–1162_suppl-09.r,EcolLett.18.1153–1162_suppl-10.txt,,,,,,
10.1089/dna.2005.24.485,DNACellBiol.24.8.485-490.pdf,,,,,,,,,,,,,,,,
10.1016/j.cub.2020.03.022,CurrBiol.30.1-6.extended.pdf,CurrBiol.30.1-6.standart.pdf,,,,,,,,,,,,,,,
10.1128/CMR.00023-07,ClinMicrobiolRev.20.4.660-694.pdf,,,,,,,,,,,,,,,,
10.1016/j.celrep.2018.07.045,CellRep.24.7.1730-1737_extended.pdf,CellRep.24.7.1730-1737_standart.pdf,,,,,,,,,,,,,,,
10.1007/s00705-013-1659-x,ArchVirol.158.1631–1636 .pdf,,,,,,,,,,,,,,,,
10.1007/s00705-010-0729-6,ArchVirol.155.1563–1569.pdf,,,,,,,,,,,,,,,,
10.1016/j.antiviral.2015.07.005,AntiviRes.122.28-38.pdf,,,,,,,,,,,,,,,,
10.1016/j.antiviral.2013.08.015,AntiviralRes.100.1.286-295.pdf,,,,,,,,,,,,,,,,
10.1016/j.ajpath.2015.10.025,AmJPathol.186.3.630-8.pdf,AmJPathol.186.3.630-8_suppl-01.pdf,,,,,,,,,,,,,,,
0.1016/S0065-3527(06)66005-3,AdvVirusRes.66.193-292.pdf,,,,,,,,,,,,,,,,
